"Deal ID","Deal Name","Deal Stage","Close Date","Deal owner","Amount","Associated Company ID","Associated Company","Associated Contact IDs","Associated Contacts"
"2138725536","Tango startup tufts handshake","Interview Completed","2020-05-31 23:47","dbaigel1@gmail.com","","","","",""
"1960397856","caredash website app","Application Submitted","2020-05-31 23:43","dbaigel1@gmail.com","","3826497580","CareDash","",""
"1970822386","Cohere Health tufts handshake","Technical Assessment Completed","2020-05-31 19:06","dbaigel1@gmail.com","","3839484826","Cohere Health Technologies","",""
"1956458518","twine labs website app","Application Submitted","2020-05-31 18:31","dbaigel1@gmail.com","","3825384613","Twine Labs","",""
"1956449675","digitalocean website app","Application Submitted","2020-05-31 18:22","dbaigel1@gmail.com","","3825451238","Digital Ocean","",""
"1956393822","ocrolus website app","Application Submitted","2020-05-31 17:47","dbaigel1@gmail.com","","3825383670","Ocrolus","",""
"1970402575","Curebase referral (Hannah)","Application Submitted","2020-05-31 17:42","dbaigel1@gmail.com","","3839366278","Curebase Inc.","",""
"2005656703","formswift tufts handshake","Application Submitted","2020-05-31 16:56","dbaigel1@gmail.com","","3883240073","KingStreet Labs LLC","",""
"2006219781","photoshelter tufts handshake","Application Submitted","2020-05-31 16:47","dbaigel1@gmail.com","","3883233209","PhotoShelter, Inc.","",""
"2005608829","alteryx tufts handshake","Application Submitted","2020-05-31 16:44","dbaigel1@gmail.com","","3883087330","alteryx","",""
"1962330948","rebellion defense website app","Application Submitted","2020-05-31 16:38","dbaigel1@gmail.com","","3827133180","rebelliondefense.com","",""
"2005655588","hive tufts handshake","Application Submitted","2020-05-31 16:37","dbaigel1@gmail.com","","3883074989","Hive","",""
"1962328822","sqreen website app","Application Submitted","2020-05-31 16:32","dbaigel1@gmail.com","","3827141113","Sqreen","",""
"1962329461","nightfall website app","Application Submitted","2020-05-31 16:20","dbaigel1@gmail.com","","3827111727","Nightfall","",""
"1962313998","h1 linkedin app","Application Submitted","2020-05-31 16:16","dbaigel1@gmail.com","","3827133130","Shore Group Associates LLC","",""
"1962314407","firehydrant linkedin app","Application Submitted","2020-05-31 16:06","dbaigel1@gmail.com","","3827105735","FireHydrant","",""
